name,id,sp_attack,sp_defense,speed,"ability
"
GrOwLitHE1,58,70,50,60,"IntIMidAtE
"
ARcaNiNE1,59,100,80,95,"IntImIDate
"
POlIWag1,60,40,40,90,"WATER Absorb
"
POLIWhiRL1,61,50,50,90,"WATer AbsorB
"
PoLiwraTH1,62,70,90,70,"WATer ABsOrB
"
ABrA1,63,105,55,90,"SynCHroNiZe
"
KADabRa1,64,120,70,105,"SYnchronize
"
AlaKazam1,65,175,105,150,"SYncHROnIzE
"
MACHoP1,66,35,35,35,"GutS
"
MaCHOke1,67,50,60,45,"GuTS
"
MAChaMP1,68,65,85,55,"GUTs
"
BellsPRouT1,69,70,30,40,"CHlOrophyll
"
WeEPINBelL1,70,85,45,55,"ChloROphYlL
"
VicTReEbEl1,71,100,70,70,"ChlOROPHYLl
"
TEntacOol1,72,50,100,70,"ClEAr BODy
"
TEnTACRUEl1,73,80,120,100,"CLEaR BoDY
"
GeODuDe1,74,30,30,20,"RoCk HEaD
"
GraVeLeR1,75,45,45,35,"RocK HeaD
"
GOLEm1,76,55,65,45,"RocK Head
"
PonyTA1,77,65,65,90,"RUn AWAy
"
RApIDASh1,78,80,80,105,"RuN AWay
"
SlOwpoKe1,79,40,40,15,"ObLIvioUs
"
SLowBRo1,80,130,80,30,"OBLIviOuS
"
MAGNeMItE1,81,95,55,45,"MaGneT PuLL
"
MAGNEtOn1,82,120,70,70,"MaGNEt PUlL
"
FarFETcH'D1,83,58,62,60,"KEEN EYe
"
DOdUO1,84,35,35,75,"Run AwAy
"
DoDRIO1,85,60,60,110,"Run AWAy
"
SeEl1,86,45,70,45,"ThiCk FAT
"
DewgONG1,87,70,95,70,"THiCK FAT
"
GRiMEr1,88,40,50,25,"SteNCH
"
Muk1,89,65,100,50,"StENCH
"
SheLLder1,90,45,25,40,"SheLL ARmor
"
CloYsTEr1,91,85,45,70,"Shell ARmor
"
GAstlY1,92,100,35,80,"LEVITAte
"
HaUnteR1,93,115,55,95,"LEVitate
"
GENgar1,94,170,95,130,"CurSED BODy
"
OniX1,95,30,45,70,"Rock HEad
"
DRoWZEE1,96,43,90,42,"InsOMnia
"
HyPno1,97,73,115,67,"INSOmnia
"
KRAbbY1,98,25,25,50,"HypER CuTTeR
"
KinGLEr1,99,50,50,75,"HYpER CuTTEr
"
VOlTOrb1,100,55,55,100,"SoUnDproof
"
EleCtROdE1,101,80,80,150,"SoUNDPrOOf
"
ExegGcuTe1,102,60,45,40,"CHlOrOPhYLL
"
EXEGGutoR1,103,125,75,45,"ChlORophyll
"
CUbONE1,104,40,50,35,"ROCk Head
"
MarOwAk1,105,50,80,45,"ROck HeaD
"
HItMOnlEE1,106,35,110,87,"LimBEr
"
HITmONChAn1,107,35,110,76,"KEen EYE
"
LiCKITUng1,108,60,75,30,"OwN TemPo
"
KOFFinG1,109,60,45,35,"LEViTatE
"
WEEZING1,110,85,70,60,"LeviTaTe
"
RHyhORN1,111,30,30,25,"LIGhtNINgRod
"
RHYdOn1,112,45,45,40,"LigHtnINgRoD
"
ChANsEY1,113,35,105,50,"NATurAl CuRe
"
TANGELa1,114,100,40,60,"ChLOROphyLl
"
KAnGAskhAN1,115,60,100,100,"EArlY BIrd
"
HorSEA1,116,70,25,60,"SWIFT SWiM
"
SeAdra1,117,95,45,85,"PoiSOn PoINT
"
GoLdEEn1,118,35,50,63,"SWiFT SWIM
"
SEAkInG1,119,65,80,68,"SWIfT Swim
"
STAryu1,120,70,55,85,"IllumiNAtE
"
STArMiE1,121,100,85,115,"ILlUMiNaTe
"
Mr. MIMe1,122,100,120,90,"SouNDprOoF
"
SCyTHER1,123,55,80,105,"SwArm
"
JYNx1,124,115,95,95,"OBliVIOuS
"
ElECTABuzZ1,125,95,85,105,"StAtIC
"
MAgmAR1,126,100,85,93,"FlAME BoDy
"
PiNsir1,127,65,90,105,"HYpEr CUTteR
"
TauroS1,128,40,70,110,"IntIMIdATe
"
MAGIkarP1,129,15,20,80,"SWiFt SWim
"
GyArADos1,130,70,130,81,"IntImIDAtE
"
LapRas1,131,85,95,60,"WAtEr ABsOrB
"
DitTO1,132,48,48,48,"LIMber
"
EEvEe1,133,45,65,55,"RUn AWay
"
VAPoreON1,134,110,95,65,"WAtER ABsoRb
"
JOLtEoN1,135,110,95,130,"VOlt AbsORB
"
FLarEOn1,136,95,110,65,"FlaSh FiRE
"
PoryGon1,137,85,75,40,"TrAcE
"
OmanyTe1,138,90,55,35,"SwIft SwIm
"
OMastaR1,139,115,70,55,"Swift SWiM
"
KaBUTO1,140,55,45,55,"Swift SWiM
"
KabUtOPs1,141,65,70,80,"SwiFT Swim
"
AeRODAcTyL1,142,70,95,150,"Rock HEad
"
SnoRlax1,143,65,110,30,"IMMunity
"
ARtICUnO1,144,95,125,85,"PREssurE
"
ZapdOs1,145,125,90,100,"PResSUrE
"
MoltRes1,146,125,85,90,"PResSURe
"
DrATINI1,147,50,50,50,"Shed SKin
"
DragONAiR1,148,70,70,70,"SheD SKIN
"
DraGONiTE1,149,100,100,80,"INNER FOcUs
"
MEWtWo1,150,194,120,140,"PReSsUrE
"
MEw1,151,100,100,100,"SYNcHroNIZE
"
Chikorita1,152,49,65,45,"OvERGrOW
"
BaYlEEF1,153,63,80,60,"OverGroW
"
MEGANIum1,154,83,100,80,"OveRGroW
"
CYNdAQuil1,155,60,50,65,"BLAZe
"
QUILaVA1,156,80,65,80,"BlaZe
"
TYpHlOSioN1,157,109,85,100,"BLAZe
"
TOtodIlE1,158,44,48,43,"ToRREnT
"
CRocONAW1,159,59,63,58,"TOrrEnt
"
FERaLigaTR1,160,79,83,78,"TOrrent
"
SeNtreT1,161,35,45,20,"RUn AwaY
"
FURREt1,162,45,55,90,"RUn AwAy
"
HoothoOt1,163,36,56,50,"InSomniA
"
NoCtoWL1,164,86,96,70,"INSOMNia
"
LEdYBA1,165,40,80,55,"SWARM
"
LEDIaN1,166,55,110,85,"SWaRm
"
SpinAraK1,167,40,40,30,"SwaRM
"
ARiadOs1,168,60,70,40,"SWaRm
"
CrobAt1,169,70,80,130,"InNEr FOCUS
"
CHiNchou1,170,56,56,67,"VOLt AbSOrB
"
LAntUrn1,171,76,76,67,"Volt AbsOrb
"
PichU1,172,35,35,60,"STatIc
"
ClefFa1,173,45,55,15,"CuTE ChaRM
"
IGglYbUff1,174,40,20,15,"CuTe CHaRm
"
TOgePI1,175,40,65,20,"HusTLE
"
TOgEtiC1,176,80,105,40,"HUStLE
"
NATU1,177,70,45,70,"SynCHroNize
"
XAtU1,178,95,70,95,"SynchRONIZE
"
MAREeP1,179,65,45,35,"STatic
"
FlAaFfY1,180,80,60,45,"STAtIc
"
AmPhArOS1,181,165,110,45,"StaTiC
"
BELLoSSOM1,182,90,100,50,"ChlorOPHYLl
"
MARILl1,183,20,50,40,"THIcK FAt
"
AzUMARILl1,184,60,80,50,"ThICK FaT
"
SuDOwOOdO1,185,30,65,30,"StuRDy
"
POlItOeD1,186,90,100,70,"WaTER ABSOrB
"
HOppip1,187,35,55,50,"CHloROpHyLl
"
SKiPLooM1,188,45,65,80,"ChloroPhylL
"
JUMplUFf1,189,55,95,110,"ChlOrOPhYLL
"
AipOm1,190,40,55,85,"RUN AWAY
"
SuNkerN1,191,30,30,30,"ChLoRoPhYlL
"
SunFLOra1,192,105,85,30,"ChLorophyll
"
YAnma1,193,75,45,95,"SPEeD BoOST
"
WOoPEr1,194,25,25,15,"DaMp
"
QuaGSIRe1,195,65,65,35,"DaMP
"
EspEon1,196,130,95,110,"SynCHrONizE
"
UMBREON1,197,60,130,65,"SYNCHRonIZe
"
MurKrOw1,198,85,42,91,"InsoMNIa
"
SlOwking1,199,100,110,30,"OBlivious
"
MisDrEAVUS1,200,85,85,85,"LevITaTE
"
UNOWn1,201,72,48,48,"LeVITatE
"
WObBuffeT1,202,33,58,33,"ShadOw Tag
"
GirAFArIg1,203,90,65,85,"InnEr FocuS
"
PinECo1,204,35,35,15,"STurdy
"
FOrREtReSs1,205,60,60,40,"STuRdy
"
DUnsPArce1,206,65,65,45,"SeRene GRAcE
"
GlIgaR1,207,35,65,85,"HyPer CUTTeR
"
STeeLIx1,208,55,95,30,"ROCk HeaD
"
SnuBbULl1,209,40,40,30,"IntimiDATE
"
GraNbulL1,210,60,60,45,"INTimIdaTE
"
QWiLfiSh1,211,55,55,85,"PoISON POINt
"
SciZoR1,212,65,100,75,"SWarm
"
ShuckLE1,213,10,230,5,"STurDy
"
HeracRoss1,214,40,105,75,"SWArm
"
SNEasEl1,215,35,75,115,"INneR FoCUS
"
TeDDiursA1,216,50,50,40,"PIckuP
"
URSARing1,217,75,75,55,"Guts
"
SLUgMa1,218,70,40,20,"MagMA ArmoR
"
MaGCaRGo1,219,90,80,30,"MAgMa ArMOr
"
SWinuB1,220,30,30,50,"ObLiviOUS
"
PILOswInE1,221,60,60,50,"OBliVIOUs
"
COrsOLa1,222,65,95,35,"HUsTlE
"
RemOrAid1,223,65,35,65,"HuStlE
"
OCtillerY1,224,105,75,45,"SUctION CUPs
"
DelIBIRd1,225,65,45,75,"VItAL SpiRit
"
MAnTINe1,226,80,140,70,"SWifT SWim
"
SKArmorY1,227,40,70,70,"KEeN EYe
"
HouNdOuR1,228,80,50,65,"EArly BiRd
"
HoUnDoOM1,229,140,90,115,"EarLY Bird
"
KIngdRa1,230,95,95,85,"SwiFT SWIm
"
PHanPy1,231,40,40,40,"PicKuP
"
DONPHAN1,232,60,60,50,"STUrDY
"
STaNtlER1,233,85,65,85,"INTImIDate
"
SMeArglE1,234,20,45,75,"Own TEmPo
"
TYRoguE1,235,35,35,35,"GUts
"
HITmoNtOP1,236,35,110,70,"IntimIDaTE
"
SmoOChUm1,237,85,65,65,"ObLIviOuS
"
ELEKId1,238,65,55,95,"StAtIc
"
MAGBy1,239,70,55,83,"FLame BodY
"
MIltANk1,240,40,70,100,"THiCk FaT
"
BLiSSeY1,241,75,135,55,"NatUrAl Cure
"
RAikOU1,242,115,100,115,"PRESSuRe
"
EnteI1,243,90,75,100,"PreSsURe
"
SUiCune1,244,90,115,85,"PrEssUrE
"
LArvItar1,245,45,50,41,"GUTs
"
PUpiTaR1,246,65,70,51,"SHED SkiN
"
TYRAnItaR1,247,95,120,71,"SAND STREam
"
LUgIa1,248,90,154,110,"PrEssURE
"
Ho-OH1,249,110,154,90,"PrEsSUrE
"
CELeBi1,250,100,100,100,"NaTural CURe
"
TrEECKo1,251,65,55,70,"OveRGroW
"
GRoVYLE1,252,85,65,95,"OVERgRoW
"
SCEpTILe1,253,145,85,145,"OveRgRoW
"
TorcHic1,254,70,50,45,"BLaZE
"
COMBUsken1,255,85,60,55,"BLAze
"
BLaZikEN1,256,130,80,100,"BLAze
"
MUDkip1,257,50,50,40,"TORRENt
"
MARshtoMp1,258,60,70,50,"TOrRENT
"
SwaMpERT1,259,95,110,70,"TOrReNt
"
POochyEna1,260,30,30,35,"RuN AwAY
"
MIGHTyena1,261,60,60,70,"INTimIDATe
"
ZigZaGOoN1,262,30,41,60,"PIckup
"
LINooNE1,263,50,61,100,"PiCkUP
"
WURMPlE1,264,20,30,20,"ShIeld DuSt
"
SILcoOn1,265,25,25,15,"ShEd Skin
"
BeaUtifly1,266,100,50,65,"SWaRM
"
CasCooN1,267,25,25,15,"Shed Skin
"
DusTOX1,268,50,90,65,"SHiElD Dust
"
LOTAd1,269,40,50,30,"SWift Swim
"
LoMbRe1,270,60,70,50,"Swift SwIM
"
LudIcolO1,271,90,100,70,"SWifT SWIm
"
SeEdot1,272,30,30,30,"CHLoroPHylL
"
NUZLeAf1,273,60,40,60,"ChLoROphYlL
"
ShIFTry1,274,90,60,80,"CHloRophylL
"
TAILlOw1,275,30,30,85,"GUts
"
SWeLlOW1,276,75,50,125,"GutS
"
WinGuLl1,277,55,30,85,"KEen EYe
"
PElIPPEr1,278,95,70,65,"KeEn EyE
"
RalTS1,279,45,35,40,"SYnChronIZE
"
KIrLIA1,280,65,55,50,"SYncHRonIZe
"
GArdEVOIR1,281,165,135,100,"SyncHROnIzE
"
SurSkIt1,282,50,52,65,"SWIFT SwIm
"
MAsQUeRaIN1,283,100,82,80,"INTimidaTE
"
SHRoomIsH1,284,40,60,35,"EFFEcT SPoRe
"
BreloOM1,285,60,60,70,"EFfecT SpORE
"
SLakOTh1,286,35,35,30,"TruANT
"
VIGorOTh1,287,55,55,90,"VITAL SPIrIt
"
SlAkIng1,288,95,65,100,"TRUAnt
"
NiNcaDA1,289,30,30,40,"COMPOuNdeYEs
"
NInJASK1,290,50,50,160,"SpeeD BOOST
"
SHEDiNJA1,291,30,30,40,"WoNDer GUArd
"
WHiSMur1,292,51,23,28,"SounDPRoOf
"
LOUDred1,293,71,43,48,"SoUNDproOf
"
ExplOud1,294,91,73,68,"SoUndPROoF
"
MakUhItA1,295,20,30,25,"ThIcK FAt
"
HaRiyAMA1,296,40,60,50,"Thick Fat
"
AZUrIll1,297,20,40,20,"THiCk FaT
"
NOsepaSS1,298,45,90,30,"STuRDy
"
SKitty1,299,35,35,50,"CUTe ChArm
"
DElcAttY1,300,55,55,90,"Cute CHaRM
"
SaBLeye1,301,85,115,20,"KEen Eye
"
MAWILE1,302,55,95,50,"HYPeR CuTtER
"
Aron1,303,40,40,30,"STURDy
"
LAIrON1,304,50,50,40,"STurDy
"
AGGron1,305,60,80,50,"Sturdy
"
MeDitItE1,306,40,55,60,"PuRE PowEr
"
MEDicham1,307,80,85,100,"PURE POwer
"
EleCTrIke1,308,65,40,65,"STatIC
"
ManeCTriC1,309,135,80,135,"StaTic
"
PlUsle1,310,85,75,95,"PLuS
"
MiNUn1,311,75,85,95,"MINus
"
VolBEAt1,312,47,85,85,"ILlUMINAtE
"
IlLUMise1,313,73,85,85,"OBlIViOUS
"
ROseLIA1,314,100,80,65,"NATURaL CuRE
"
GULpin1,315,43,53,40,"LiQuId OoZe
"
SWALOt1,316,73,83,55,"Liquid OOZE
"
CaRvANHa1,317,65,20,65,"ROUgH SKin
"
ShARpEDo1,318,110,65,105,"ROugH SKIN
"
WaiLMeR1,319,70,35,60,"WATER VeiL
"
WAIloRd1,320,90,45,60,"WatEr VeiL
"
NUMEl1,321,65,45,35,"ObLIvIOUs
"
CAmeRUPt1,322,145,105,20,"MaGmA ARmOr
"
TorkOal1,323,85,70,20,"WhiTe SmOkE
"
SPoINK1,324,70,80,60,"Thick FAt
"
GRuMPiG1,325,90,110,80,"ThiCk Fat
"
SpiNdA1,326,60,60,60,"OwN TEmPo
"
TrAPIncH1,327,45,45,10,"HypEr CuTTer
"
ViBRaVa1,328,50,50,70,"LeviTaTe
"
FLYgON1,329,80,80,100,"LEVITAte
"
CACNEa1,330,85,40,35,"SaND VeiL
"
CACTurne1,331,115,60,55,"SAND VEIl
"
SWAbLu1,332,40,75,50,"NAtuRal CuRE
"
ALtArIa1,333,110,105,80,"NatUraL Cure
"
ZANgoOsE1,334,60,60,90,"IMMUnIty
"
SEVipER1,335,100,60,65,"SHed SKIn
"
LunatONE1,336,95,85,70,"LEVITatE
"
SOlroCk1,337,55,65,70,"LEVitAte
"
BaRbOACh1,338,46,41,60,"ObLIvIoUS
"
WhiscAsh1,339,76,71,60,"ObLIvIous
"
CorPhiSh1,340,50,35,35,"HypeR CUtTer
"
CrAWDaUnt1,341,90,55,55,"Hyper CUTTeR
"
BaLTOy1,342,40,70,55,"LeVITATE
"
Claydol1,343,70,120,75,"LEvITaTE
"
LiLEEP1,344,61,87,23,"SuCTiOn CuPs
"
CRadIlY1,345,81,107,43,"SUctIon CuPs
"
ANorith1,346,40,50,75,"BaTtle ARMor
"
ARMaLDO1,347,70,80,45,"BATtLE ARmoR
"
FeEbAs1,348,10,55,80,"SWIfT Swim
"
MIlOTIc1,349,100,125,81,"MARVeL SCAle
"
CAStFOrM1,350,70,70,70,"FoReCast
"
KEclEON1,351,60,120,40,"COLOr CHANge
"
SHuPpEt1,352,63,33,45,"InsomNiA
"
BaNeTte1,353,93,83,75,"Insomnia
"
DUSkull1,354,30,90,25,"LevitaTe
"
DUsclOPs1,355,60,130,25,"PreSsUrE
"
TroPiuS1,356,72,87,51,"CHLoRoPHYLl
"
CHIMECho1,357,95,90,65,"LEvItaTe
"
AbSoL1,358,115,60,115,"PREsSuRE
"
WyNAut1,359,23,48,23,"ShAdoW TaG
"
SNOruNt1,360,50,50,50,"Inner Focus
"
GlALiE1,361,120,80,100,"InneR FOcuS
"
SPHEaL1,362,55,50,25,"ThiCk FaT
"
SEaleo1,363,75,70,45,"THIcK FaT
"
WaLREIN1,364,95,90,65,"ThiCK FAT
"
CLamPErL1,365,74,55,32,"ShELl ARmoR
"
HUntAil1,366,94,75,52,"SwiFt SwIM
"
GORebYSs1,367,114,75,52,"SWift SwIm
"
RELicAnth1,368,45,65,55,"SwIFt SWiM
"
LUVDIsc1,369,40,65,97,"SwIFT SWiM
"
BAgON1,370,40,30,50,"ROCK HeaD
"
ShElgoN1,371,60,50,50,"ROck HEAd
"
SAlAMeNce1,372,120,90,120,"InTimIDaTe
"
BeLdUM1,373,35,60,30,"CLeaR BODy
"
MetanG1,374,55,80,50,"CLEar BOdY
"
MeTAgrOSs1,375,105,110,110,"CLEAr BoDY
"
REgiROck1,376,50,100,50,"Clear BOdy
"
ReGICe1,377,100,200,50,"ClEAr Body
"
REGIsteeL1,378,75,150,50,"ClEar BoDy
"
LaTIAs1,379,140,150,110,"LeVItATe
"
LATiOs1,380,160,120,110,"LEVitATe
"
KyOgrE1,381,180,160,90,"DRIzzlE
"
GrOuDOn1,382,150,90,90,"DrOuGhT
"
RAyqUaZA1,383,180,100,115,"AiR LoCK
"
JIRAcHI1,384,100,100,100,"SeRenE GRacE
"
DeoXYs1,385,95,90,180,"PreSsuRE
"
TUrtWIG1,386,45,55,31,"OVeRGroW
"
GrOtLE1,387,55,65,36,"OvErgRow
"
ToRteRra1,388,75,85,56,"OVErgroW
"
CHiMCHAR1,389,58,44,61,"BlazE
"
MoNfeRno1,390,78,52,81,"BLAze
"
INfernapE1,391,104,71,108,"BLazE
"
PipLup1,392,61,56,40,"TORRenT
"
PriNPlup1,393,81,76,50,"ToRrENt
"
EmPoLeoN1,394,111,101,60,"TORrENt
"
StarLy1,395,30,30,60,"Keen EYe
"
StAraVia1,396,40,40,80,"IntImidatE
"
StAraPTOr1,397,50,60,100,"INTIMIDaTe
"
BiDOof1,398,35,40,31,"SImPlE
"
BIBArel1,399,55,60,71,"SimplE
"
KRicKeTOT1,400,25,41,25,"SHeD SKIn
"
KrickETUnE1,401,55,51,65,"SwARM
"
SHiNx1,402,40,34,45,"RiVALRy
"
LuxIo1,403,60,49,60,"RiVALRY
"
LUXRAy1,404,95,79,70,"Rivalry
"
BUDEw1,405,50,70,55,"NATURAl CURe
"
RoSERAde1,406,125,105,90,"NAtural CurE
"
CrAnIDoS1,407,30,30,58,"Mold BrEAKeR
"
RAmpaRDOs1,408,65,50,58,"MOlD BREaKeR
"
ShiELdon1,409,42,88,30,"StuRdy
"
BaSTIODon1,410,47,138,30,"STUrdy
"
BURMY1,411,29,45,36,"ShED SkIn
"
WoRMAdAm1,412,69,95,36,"AnticiPAtioN
"
MoThim1,413,94,50,66,"SWARm
"
CoMbEe1,414,30,42,70,"HONey GatheR
"
VeSpIquEN1,415,80,102,40,"PRessURe
"
PaChiRiSU1,416,45,90,95,"RuN AWay
"
BUizEl1,417,60,30,85,"SwIFt SWim
"
FLoAtzEl1,418,85,50,115,"SwIfT SWIM
"
CHerUbi1,419,62,53,35,"ChlOROphyll
"
CHERRim1,420,87,78,85,"FlOWer Gift
"
ShELlOs1,421,57,62,34,"StICKy HOLd
"
GaSTRODoN1,422,92,82,39,"STICky HOLd
"
AMBipOm1,423,60,66,115,"TEChnIcIAN
"
DRiFloon1,424,60,44,70,"AfteRmATH
"
DRIFBlIm1,425,90,54,80,"AfTermaTh
"
BuNeary1,426,44,56,85,"Run AWAY
"
LOpunNY1,427,54,96,135,"CUTe Charm
"
MIsMAGIuS1,428,105,105,105,"LevItate
"
HONchKRoW1,429,105,52,71,"InSOmnia
"
GLamEOw1,430,42,37,85,"LImber
"
PUruGLy1,431,64,59,112,"ThiCk FaT
"
ChINgLiNg1,432,65,50,45,"LevItATe
"
STunKY1,433,41,41,74,"STEnch
"
SkUNtaNK1,434,71,61,84,"STENcH
"
BRONzoR1,435,24,86,23,"LevitAtE
"
BronzONG1,436,79,116,33,"LEvItATE
"
BOnSlY1,437,10,45,10,"STuRDY
"
MIme Jr.1,438,70,90,60,"SOunDprOOf
"
HapPINy1,439,15,65,30,"NATuRAl Cure
"
ChAtOt1,440,92,42,91,"Keen EYe
"
SpIRITOmb1,441,92,108,35,"PREsSURe
"
GIBlE1,442,40,45,42,"SAnd VEIL
"
GaBite1,443,50,55,82,"Sand VEil
"
GaRCHoMp1,444,120,95,92,"SaNd VEiL
"
MunChLaX1,445,40,85,5,"PICKuP
"
RIOlu1,446,35,40,60,"StEAdfast
"
LucARIO1,447,140,70,112,"SteadFasT
"
HippOpotas1,448,38,42,32,"SaND StREam
"
HIppOWDoN1,449,68,72,47,"SAnD StREAM
"
SkoruPi1,450,30,55,65,"BAtTle ARmor
"
DrApion1,451,60,75,95,"BaTTLE ARmoR
"
CRoaGunK1,452,61,40,50,"ANtiCIPAtiOn
"
ToxiCROAK1,453,86,65,85,"ANTIcIPaTIOn
"
CArnIviNe1,454,90,72,46,"LeviTatE
"
FInNeon1,455,49,61,66,"SwIFt SWiM
"
LUmIneOn1,456,69,86,91,"SWiFT SwIm
"
MantyKe1,457,60,120,50,"SWIft SWiM
"
SNoVer1,458,62,60,40,"Snow WarniNg
"
ABomAsNOW1,459,132,105,30,"SnOw WARNiNG
"
WeAViLe1,460,45,85,125,"PrEssure
"
MAgneZoNe1,461,130,90,60,"MAGNeT PuLl
"
LICkiLICky1,462,80,95,50,"Own TEmPo
"
RhYPeRIOR1,463,55,55,40,"LigHTninGroD
"
TAngROWTh1,464,110,50,50,"CHlOroPhYLl
"
ELecTIvIre1,465,95,85,95,"MOtoR DrIVE
"
MAgmortAr1,466,125,95,83,"FLamE BODy
"
TogekISs1,467,120,115,80,"HUstlE
"
YanMEgA1,468,116,56,95,"SPeEd BOosT
"
LeafeoN1,469,60,65,95,"LeAf GUArd
"
GLACEoN1,470,130,95,65,"Snow CLoaK
"
GLisCoR1,471,45,75,95,"HypEr CUtTer
"
MAMosWine1,472,70,60,80,"ObliVIoUS
"
PoRygoN-Z1,473,135,75,90,"AdapTabilITy
"
GalLaDE1,474,65,115,110,"STeadfasT
"
PRobOPass1,475,75,150,40,"StuRDY
"
DusKNoIR1,476,65,135,45,"PRessUre
"
FrOsLASS1,477,80,70,110,"SNOw CloAK
"
RotoM1,478,105,107,86,"LeVitaTe
"
UXie1,479,75,130,95,"LEvitAtE
"
MeSPriT1,480,105,105,80,"LeVitATe
"
AZElf1,481,125,70,115,"LEvItatE
"
DIALGA1,482,150,100,90,"PREsSure
"
PaLkia1,483,150,120,100,"PrESsUrE
"
HEATrAn1,484,130,106,77,"FlaSh FIRE
"
REGiGIgas1,485,80,110,100,"SloW STarT
"
GiraTInA1,486,120,100,90,"PREssurE
"
CreSSEliA1,487,75,130,85,"LevITAte
"
PHiOne1,488,80,80,80,"HydRATiON
"
MaNAPHy1,489,100,100,100,"HyDRATION
"
DaRkRai1,490,135,90,125,"BAD DrEamS
"
ShaYmIN1,491,120,75,127,"NAtURAl CurE
"
ARCEUs1,492,120,120,120,"MuLtitYPe
"
VIcTini1,493,100,100,100,"VictoRy StAr
"
SNiVY1,494,45,55,63,"OVeRGROW
"
ServiNe1,495,60,75,83,"OVergroW
"
SERpErIor1,496,75,95,113,"OVERGROw
"
TEPIg1,497,45,45,45,"BlAze
"
PIgnIte1,498,70,55,55,"BlazE
"
EmBOAR1,499,100,65,65,"BlAzE
"
OSHaWott1,500,63,45,45,"TorrENt
"
DEWOtt1,501,83,60,60,"TorRENt
"
SamurOTT1,502,108,70,70,"TOrRenT
"
PaTraT1,503,35,39,42,"RUn AWAY
"
WatCHOG1,504,60,69,77,"ILlUMInatE
"
LiLliPUp1,505,25,45,55,"ViTAL SPiRiT
"
HERdiER1,506,35,65,60,"INtimiDATe
"
StOutlaNd1,507,45,90,80,"IntiMIdATE
"
PURrLOIn1,508,50,37,66,"LImBER
"
LiEparD1,509,88,50,106,"LiMBeR
"
PANsAgE1,510,53,48,64,"GlutTOny
"
SiMISagE1,511,98,63,101,"GLUttONy
"
PAnSeAR1,512,53,48,64,"GlUTTOnY
"
SimISEar1,513,98,63,101,"GLutTony
"
